generation,evaluated_individuals,min_fitness,max_fitness,avg_fitness,std_fitness
0,60,0.0004487376315469519,0.0007606108496097041,0.0005464689202459017,6.159521390526726e-05
1,68,0.0004487376315469519,0.0007606108496097041,0.0005608519722385995,6.877941874757481e-05
2,74,0.0004487376315469519,0.0007606108496097041,0.0005791645996724296,8.26573482757791e-05
3,74,0.0004527303541811862,0.0007606108496097041,0.000579168322497894,7.586011499310196e-05
4,70,0.0004527303541811862,0.0007606108496097041,0.0005816063609357474,7.924479252882733e-05
5,68,0.0004527303541811862,0.0007606108496097041,0.0006101150874768173,9.003992141370545e-05
6,68,0.0004527303541811862,0.0007606108496097041,0.0006288015256311065,9.757198647128727e-05
7,68,0.0004527303541811862,0.0007606108496097041,0.0006327692284157666,0.00010057952664325961
8,67,0.0004487376315469519,0.0007606108496097041,0.0006742411524795274,0.00010441545054239138
9,66,0.0004527303541811862,0.0007763762441783462,0.0007109098978859495,7.922371950450685e-05
10,70,0.0005180881999601528,0.0007606108496097041,0.000714363229445599,6.832202792935668e-05
11,70,0.0005107237456290869,0.0007606108496097041,0.000708247773454747,7.644343977381898e-05
12,64,0.0005107237456290869,0.0007606108496097041,0.000715063768448687,7.202975471448887e-05
13,65,0.0005180881999601528,0.0007606108496097041,0.0007164727993866711,6.655039648661666e-05
14,66,0.0005472417913634213,0.0007606108496097041,0.0007294575866172669,5.5016784366536575e-05
15,58,0.0006202795477596981,0.0007606108496097041,0.0007277168409245028,5.3519993016110265e-05
16,73,0.000493854500366214,0.0007606108496097041,0.0007259044860658084,6.378658757902241e-05
17,70,0.0005111311888462254,0.0007606108496097041,0.0007256824646796631,6.448972974410913e-05
18,78,0.0005306513482116962,0.0007606108496097041,0.0007317957045662917,6.119071088337585e-05
19,74,0.0005390317671412614,0.0007763762441783462,0.0007365109263678386,5.8558090146153445e-05
20,76,0.0006071486061863403,0.0007763762441783462,0.0007500739211573347,3.496696036870018e-05
21,70,0.0005306513482116962,0.0007763762441783462,0.0007504443473339013,4.035769429963507e-05
22,68,0.0006202795477596981,0.0007763762441783462,0.0007524078264283119,3.368219207789147e-05
23,68,0.0005394749840993885,0.0007763762441783462,0.0007531734030196521,3.770463639368783e-05
24,67,0.0005107237456290869,0.0007763762441783462,0.0007546774337099369,3.800711086278125e-05
25,70,0.0006202795477596981,0.0007763762441783462,0.0007610244500897672,1.6738135116898818e-05
26,69,0.000493854500366214,0.0007763762441783462,0.0007521962452058887,4.724922197314918e-05
27,68,0.0005180881999601528,0.0007763762441783462,0.0007520793357865927,4.532749352051706e-05
28,62,0.0005180881999601528,0.0007763762441783462,0.0007496070396695507,4.62724543727295e-05
29,71,0.0005180881999601528,0.0007763762441783462,0.000743300662050708,5.8825342963892366e-05
30,73,0.00048368731055076697,0.0007763762441783462,0.0007346290908762077,7.661238099954389e-05
31,70,0.000493854500366214,0.0007763762441783462,0.000740491535940418,7.071925068422849e-05
32,68,0.000493854500366214,0.0007763762441783462,0.0007449397795290707,6.327725472780878e-05
33,68,0.000493854500366214,0.0007763762441783462,0.0007565705460532689,4.680122337554271e-05
34,68,0.000493854500366214,0.0007763762441783462,0.0007481024922866106,6.587358490306274e-05
35,64,0.000493854500366214,0.0007763762441783462,0.0007548793597018372,5.895325305355763e-05
36,70,0.00048368731055076697,0.0007763762441783462,0.0007488716308264889,7.23258190561915e-05
37,78,0.00048368731055076697,0.0007763762441783462,0.0007261307966416437,9.636188291599865e-05
38,72,0.000493854500366214,0.0007763762441783462,0.0007501143967345825,6.943260677778794e-05
39,62,0.000493854500366214,0.0007763762441783462,0.0007551557294318506,6.043561027973044e-05
40,72,0.000493854500366214,0.0007763762441783462,0.0007555498642960667,6.05212478832113e-05
41,65,0.000493854500366214,0.0007763762441783462,0.0007531544129559645,6.208981493018684e-05
42,67,0.000493854500366214,0.0007763762441783462,0.0007487950409475277,6.828917938142071e-05
43,72,0.000493854500366214,0.0007763762441783462,0.0007556209890317593,5.4082849485081583e-05
44,71,0.00048368731055076697,0.0007763762441783462,0.0007458110797760505,7.005350007606907e-05
45,71,0.00048368731055076697,0.0007763762441783462,0.0007523819952521937,6.008186046212125e-05
46,77,0.0005306513482116962,0.0007763762441783462,0.0007545550516824377,5.1256186950896304e-05
47,74,0.0005394749840993885,0.0007763762441783462,0.000758722245491157,4.436409267994171e-05
48,74,0.0005394749840993885,0.0007763762441783462,0.0007529403821049201,5.728196639691601e-05
49,70,0.0005394749840993885,0.0007763762441783462,0.0007645940859914197,4.10029378586481e-05
