expected_job_id,runner_job_id,group,family,size,instance,stations,max_vehicles,instance_path,method,method_label,seed,job_dir,runner_path,result_path,checker_path,job_dir_present,runner_present,result_present,checker_present,runner_valid,result_valid,checker_valid,checker_fresh,checker_contract_valid,checker_strict_feasible,strict_feasible,run_status,completed,protocol_fingerprint,exit_code,timed_out,wall_runtime_seconds,distance,distance_source,result_status,failure_class,failure_stage,failure_detail,checker_failure_class,metric_warning
C-c103C15-pyvrp_repair-seed-0001,C-c103C15-pyvrp_repair-seed-0001,C,clustered,15,c103C15,5,5,,pyvrp_repair,PyVRP VRPTW + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyvrp_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyvrp_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyvrp_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyvrp_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,64cf593fedef7f80c6eea755f9553fc86c943fcd1e6bdd237a996f822734624d,0,false,10.716008,410.0,checker.report.total_distance,solved,,,,success,
C-c103C15-vns_ts-seed-0001,C-c103C15-vns_ts-seed-0001,C,clustered,15,c103C15,5,5,,vns_ts,Schneider hybrid VNS/TS,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\vns_ts\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\vns_ts\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\vns_ts\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\vns_ts\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,7af356c9a903232a0ebe98c084706af3bb2af7a4d8bec266ee5c56b2ae213cb2,0,false,116.759434,384.0,checker.report.total_distance,solved,,,,success,
C-c103C15-pomo_repair-seed-0001,C-c103C15-pomo_repair-seed-0001,C,clustered,15,c103C15,5,5,,pomo_repair,POMO CVRP + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pomo_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pomo_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pomo_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pomo_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,false,false,failed,true,b71789f0df36512afc9e088f0562050b1c152a57ee50c6fdf1a0d642b6d31863,0,false,4.065788,,,unsolved,missing,checker,checker_infeasible:coverage_missing,checker_infeasible:coverage_missing,
C-c103C15-pyga_checked-seed-0001,C-c103C15-pyga_checked-seed-0001,C,clustered,15,c103C15,5,5,,pyga_checked,py-ga-VRPTW + shared checker,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyga_checked\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyga_checked\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyga_checked\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\pyga_checked\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,false,false,failed,true,2082485352f16bc7eecfc0563997052b78180ab5ca9e6b505b4a7153ae4e7c4f,0,false,0.376603,,,unsolved,infeasible,checker,checker_infeasible:energy_or_charging,checker_infeasible:energy_or_charging,
C-c103C15-routefinder_repair-seed-0001,C-c103C15-routefinder_repair-seed-0001,C,clustered,15,c103C15,5,5,,routefinder_repair,RouteFinder + fleet compaction + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\routefinder_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\routefinder_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\routefinder_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\15\c103C15\routefinder_repair\seed-0001\checker.json,true,true,true,true,true,true,true,true,true,true,true,feasible,true,ccd2d4b406b18fb024c6cd87abc332551a84ea561bac5f78c99e9b8a5a442d52,0,false,11.48158,472.0,checker.report.total_distance,solved,,,,success,
C-c101_21-pyvrp_repair-seed-0001,,C,clustered,100,c101_21,21,31,,pyvrp_repair,PyVRP VRPTW + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyvrp_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyvrp_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyvrp_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyvrp_repair\seed-0001\checker.json,false,false,false,false,false,false,false,false,,,false,failed,,,,,,,,,missing,job,expected job directory is missing,,
C-c101_21-vns_ts-seed-0001,,C,clustered,100,c101_21,21,31,,vns_ts,Schneider hybrid VNS/TS,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\vns_ts\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\vns_ts\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\vns_ts\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\vns_ts\seed-0001\checker.json,false,false,false,false,false,false,false,false,,,false,failed,,,,,,,,,missing,job,expected job directory is missing,,
C-c101_21-pomo_repair-seed-0001,,C,clustered,100,c101_21,21,31,,pomo_repair,POMO CVRP + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pomo_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pomo_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pomo_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pomo_repair\seed-0001\checker.json,false,false,false,false,false,false,false,false,,,false,failed,,,,,,,,,missing,job,expected job directory is missing,,
C-c101_21-pyga_checked-seed-0001,,C,clustered,100,c101_21,21,31,,pyga_checked,py-ga-VRPTW + shared checker,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyga_checked\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyga_checked\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyga_checked\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\pyga_checked\seed-0001\checker.json,false,false,false,false,false,false,false,false,,,false,failed,,,,,,,,,missing,job,expected job directory is missing,,
C-c101_21-routefinder_repair-seed-0001,,C,clustered,100,c101_21,21,31,,routefinder_repair,RouteFinder + fleet compaction + EVRP-TW repair,1,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\routefinder_repair\seed-0001,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\routefinder_repair\seed-0001\runner.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\routefinder_repair\seed-0001\result.json,E:\WorkSpace\FURP-2026-Ziru-Huang-EVRP-TW\src\log\week5\stability-three-groups\runs\C\100\c101_21\routefinder_repair\seed-0001\checker.json,false,false,false,false,false,false,false,false,,,false,failed,,,,,,,,,missing,job,expected job directory is missing,,
